"Date: 10/11/2019 22h57"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",9.00,6.30
"Epicerie Bio Bois-Genoud","Mélange de Noix","4.70 CHF/100g",1.00,4.70
"Epicerie Bio Bois-Genoud","Müsli spécial demeter","1.00 CHF/100g",8.00,8.00
"Epicerie Bio Bois-Genoud","Pâtes (Penne)","0.70 CHF/100g",6.00,4.20
"Epicerie Bio Bois-Genoud","Radis noirs fermentés","7.00 CHF/275g",1.00,7.00
"Epicerie Bio Bois-Genoud","gingembre frais","1.50 CHF/100 g.",4.00,6.00
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",18.00,16.20
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",4.00,18.00
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",11.00,3.85
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",26.00,10.40
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",12.00,4.20
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",5.00,3.50
"Ferme Bois genoud","Chou pointu","0.55 CHF/100g",14.00,7.85
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",3.00,10.50
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",6.00,3.35
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",2.00,3.00
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",20.00,10.40
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",1.00,4.60
"Ferme Bois genoud","Pomme de terre Agria (farineuse)","1.20 CHF/500 grammes",4.00,4.80
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",5.00,6.00
"Ferme Bois genoud",Rutabaga,"0.35 CHF/100 grammes",8.00,2.80
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",1.00,1.60
"Ferme Bois genoud","Salade Scarole (frisée)","2.20 CHF/Pièce",1.00,2.20
"Ferme St-Barthélémy","Pain complet Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",2.00,5.30
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 500g (long)","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pain à l'avoine Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",1.00,2.65
"Ferme St-Barthélémy","Pâte feuilletée Bio bourgeon 250g","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pâte feuilletée Bio bourgeon 500g","6.25 CHF/Pièce",1.00,6.25
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 250g ","1.55 CHF/Pièce",1.00,1.55
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",6.00,7.80
