Fournisseur,Produit,Total, Quantite, Prix(par unité)
farm,carottes demeter,2.45,5,0.49000000000000005
farm,betteraves nouvelles (botte),2.5,1,2.5
farm,citrons,0.96,2,0.48
farm,colrave (pce),2.4,1,2.4
farm,côte de bettes,3.2,4,0.8
shop,fromage végétal (New Roots soft white),8.01,1,8.01
shop,lait d'avoine,3.24,1,3.24
farm,laitue romaine (pièce),2.4,1,2.4
shop,müsli choco-amaranthe,10.8,8,1.35
farm,oignons (botte),4.6,2,2.3
shop,pain multicéréale (400g),8.28,2,4.14
farm,persil (bouquet),1.6,1,1.6
farm,roquette,2.4,1,2.4
shop,pain multigrain (400g),4.14,1,4.14
shop,polenta ticinese,2.43,3,0.81
