"Date: 03/11/2019 23h15"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",9.00,6.30
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",3.00,5.40
"Epicerie Bio Bois-Genoud","Müsli spécial demeter","1.00 CHF/100g",8.00,8.00
"Epicerie Bio Bois-Genoud",Noisettes,"3.00 CHF/100g",2.00,6.00
"Epicerie Bio Bois-Genoud","Radis noirs fermentés","7.00 CHF/275g",1.00,7.00
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",4.00,4.40
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",22.00,13.20
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",8.00,7.20
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",14.00,4.90
"Ferme Bois genoud","Betteraves cuites","0.40 CHF/100 grammes",2.00,0.80
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",46.00,18.40
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",4.00,1.40
"Ferme Bois genoud","Chou chinois","0.40 CHF/100 grammes",8.00,3.35
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",12.00,8.40
"Ferme Bois genoud","Chou pointu","0.55 CHF/100g",16.00,8.95
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",1.00,3.50
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",4.00,2.25
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",4.00,1.40
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",23.00,9.65
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",1.00,1.50
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",22.00,11.45
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",2.00,9.20
"Ferme Bois genoud","Pomme de terre Agria (farineuse)","1.20 CHF/500 grammes",5.00,6.00
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",7.00,8.40
"Ferme Bois genoud",Rutabaga,"0.35 CHF/100 grammes",6.00,2.10
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",4.00,6.40
"Ferme Bois genoud","Salade  balla rossa","0.55 CHF/100 g",2.00,1.10
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 1000g (long)","4.75 CHF/Pièce",2.00,9.50
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 250g (long)","1.75 CHF/Pièce",1.00,1.75
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 500g (long)","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pain à l'avoine Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",1.00,2.65
"Ferme St-Barthélémy","Pain: torsadé aux graines Bio bourgeon 500g","3.35 CHF/Pièce",1.00,3.35
"Ferme St-Barthélémy","Pâte à gâteau bio bourgeon 250g","2.30 CHF/Pièce",1.00,2.30
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 500g","3.10 CHF/Pièce",1.00,3.10
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",12.00,15.60
