"Date: 30/11/2020 00h09"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",4.00,2.80
"Epicerie Bio Bois-Genoud","Lentille (verte)","1.30 CHF/100 g",6.00,7.80
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",2.00,2.20
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",10.00,6.00
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",1.00,4.50
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",3.00,13.50
"Ferme Bois genoud",Ail,"1.70 CHF/100g",2.00,3.40
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",2.00,0.70
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",10.00,4.80
"Ferme Bois genoud","Chou  blanc","0.50 CHF/100 g",10.00,4.80
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",8.00,3.85
"Ferme Bois genoud","Chou frisé","0.50 CHF/100 grammes",1.00,0.50
"Ferme Bois genoud","Chou plume (Kale) ","0.65 CHF/100 grammes",1.00,0.65
"Ferme Bois genoud","Chou pointu","0.65 CHF/100g",6.00,3.85
"Ferme Bois genoud",Clémentines,"0.45 CHF/100 grammes",15.00,6.75
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",2.00,7.00
"Ferme Bois genoud","Courge butternut (env. 2.5kg)","12.00 CHF/Pièce",1.00,12.00
"Ferme Bois genoud","Farine d'engrain","7.00 CHF/Sac de 1kg",1.00,7.00
"Ferme Bois genoud","Farine mi-blanche de Blé","5.50 CHF/kg",1.00,5.50
"Ferme Bois genoud",Oignons,"0.50 CHF/100 grammes",12.00,5.75
"Ferme Bois genoud","Oignons doux","0.50 CHF/100 grammes",5.00,2.40
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",22.00,11.45
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",3.00,3.60
"Ferme Bois genoud","Salade  balla rossa","0.65 CHF/100 g",5.00,3.20
