"Date: 22/11/2020 23h20"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Café Camocim Crema moulu","7.50 CHF/250 grammes",2.00,15.00
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",4.00,2.80
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",6.00,9.00
"Epicerie Bio Bois-Genoud",Noisettes,"3.00 CHF/100g",5.00,15.00
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",2.00,9.00
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",4.00,18.00
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",3.00,1.05
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",16.00,7.70
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",8.00,3.85
"Ferme Bois genoud","Chou frisé","0.50 CHF/100 grammes",6.00,3.10
"Ferme Bois genoud",Citron,"0.50 CHF/100g",4.00,1.90
"Ferme Bois genoud",Clémentines,"0.45 CHF/100 grammes",7.00,3.15
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",20.00,10.40
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",4.00,4.80
"Ferme Bois genoud","Salade pain sucre","0.55 CHF/100g",10.00,5.40
