"Date: 18/10/2020 22h17"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Cocktail de légumes fermentés","7.00 CHF/340 g",1.00,7.00
"Epicerie Bio Bois-Genoud","Curry english","4.70 CHF/50",1.00,4.70
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",6.00,9.00
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",1.00,4.50
"Ferme Bois genoud",Ail,"1.70 CHF/100g",2.00,3.40
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",8.00,3.85
"Ferme Bois genoud","Chou plume (Kale) ","0.65 CHF/100 grammes",7.00,4.50
"Ferme Bois genoud","Chou pointu","0.65 CHF/100g",6.00,3.85
"Ferme Bois genoud",Citron,"0.50 CHF/100g",5.00,2.40
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",2.00,7.00
"Ferme Bois genoud","Côtes de Bettes","0.50 CHF/100 grammes",2.00,1.05
"Ferme Bois genoud","Farine mi-blanche de Blé","5.50 CHF/kg",1.00,5.50
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",2.00,3.00
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",12.00,6.25
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",1.00,1.20
"Ferme Bois genoud","Pommes de terre (bleu de St. Gall)","1.60 CHF/500 g",2.00,3.20
"Ferme Bois genoud","Salade  balla rossa","0.65 CHF/100 g",3.00,1.90
"Ferme Bois genoud",Tomates,"0.50 CHF/100 grammes",5.00,2.40
