"Date: 08/12/2019 23h31"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Clémentines demeter","0.60 CHF/100 grammes",28.00,16.80
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",22.00,15.40
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",5.00,9.00
"Epicerie Bio Bois-Genoud","Müsli classic (avec sucre)","1.20 CHF/100g",4.00,4.80
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",2.00,3.00
"Epicerie Bio Bois-Genoud","Purée de tomate naturata 400g ","3.10 CHF/Pièce",1.00,3.10
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",38.00,34.20
"Ferme Bio Les Sapins",Poires,"4.60 CHF/1kg",2.00,9.20
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud",Ail,"1.60 CHF/100g",1.00,1.60
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",1.00,0.35
"Ferme Bois genoud","Betteraves cuites","0.40 CHF/100 grammes",2.00,0.80
"Ferme Bois genoud","Carottes bio","0.30 CHF/100 grammes",22.00,6.60
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",4.00,1.40
"Ferme Bois genoud","Chou chinois","0.40 CHF/100 grammes",4.00,1.70
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",7.00,4.90
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",2.00,7.00
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",10.00,5.60
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",4.00,1.40
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",17.00,7.15
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",24.00,12.50
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",4.00,4.80
"Ferme Bois genoud",Rutabaga,"0.35 CHF/100 grammes",7.00,2.45
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme St-Barthélémy","Pain au lait ","1.00 CHF/Pièce",1.00,1.00
"Ferme St-Barthélémy","Pain complet Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",2.00,5.30
"Ferme St-Barthélémy","Pain tessinois Bio bourgeon 400g ","3.30 CHF/Pièce",1.00,3.30
"Ferme St-Barthélémy","Pain: Torsadé (mi-blanc) Bio bourgeon 500g","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pain: torsadé aux graines Bio bourgeon 500g","3.35 CHF/Pièce",2.00,6.70
"Ferme St-Barthélémy","Pâte feuilletée Bio bourgeon 500g","6.25 CHF/Pièce",1.00,6.25
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",10.00,13.00
"Ferme de Coinsins","Lentille (verte)","1.30 CHF/100 g",3.00,3.90
