"Date: 11/10/2020 22h51"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud",Amandes,"4.00 CHF/100g",1.00,4.00
"Epicerie Bio Bois-Genoud","Earl Grey (thé en vrac)","9.00 CHF/100g",1.00,9.00
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",7.00,4.90
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",6.00,9.00
"Epicerie Bio Bois-Genoud","Purée de tomate naturata","3.20 CHF/400g",1.00,3.20
"Epicerie Bio Bois-Genoud","Pâtes (Penne)","0.70 CHF/100g",6.00,4.20
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",6.00,3.60
"Epicerie Bio Bois-Genoud","gingembre frais","1.50 CHF/100 g.",1.00,1.50
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",12.00,10.80
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",1.00,4.50
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",3.00,13.50
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",6.00,2.10
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",18.00,8.65
"Ferme Bois genoud","Chou  blanc","0.50 CHF/100 g",2.00,0.95
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",19.00,9.10
"Ferme Bois genoud","Chou chinois","0.65 CHF/100 grammes",6.00,3.85
"Ferme Bois genoud","Chou plume (Kale) ","0.65 CHF/100 grammes",2.00,1.30
"Ferme Bois genoud",Citron,"0.50 CHF/100g",3.00,1.45
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",2.00,7.00
"Ferme Bois genoud","Côtes de Bettes","0.50 CHF/100 grammes",8.00,4.15
"Ferme Bois genoud",Echalottes,"0.65 CHF/100 grammes",2.00,1.30
"Ferme Bois genoud","Farine mi-blanche de Blé","5.50 CHF/kg",1.00,5.50
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",1.00,0.35
"Ferme Bois genoud","Oignons doux","0.50 CHF/100 grammes",1.00,0.50
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",1.00,1.50
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",2.00,1.05
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",8.00,9.60
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud","Salade  balla rossa","0.65 CHF/100 g",4.00,2.55
"Ferme Bois genoud","Salade d'été","1.50 CHF/pièce",3.00,4.50
"Ferme Bois genoud",Tomates,"0.50 CHF/100 grammes",24.00,11.50
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",9.00,11.70
