Fournisseur,Produit,Total, Quantite, Prix(par unité)
farm,betteraves crues,0.48,1,0.48
farm,carottes demeter,1.8,4,0.45
farm,chou rouge (300g),4.32,3,1.4400000000000002
farm,courge musquée (tranche de 1 kg),4,1,4
shop,müsli choco-amaranthe,4.05,3,1.3499999999999999
shop,chocolat crémant 55 % amarru 100g,6.3,2,3.15
farm,côte de bettes,3.2,4,0.8
shop,graines de tournesol,4.86,3,1.62
shop,flocon d'avoine fin,6.3,10,0.63
shop,fromage végétal,8.01,1,8.01
shop,lait d'avoine,6.48,2,3.24
shop,mélange de noix,12.69,3,4.2299999999999995
shop,pain multigrain (1kg),14.4,2,7.2
shop,pâtes (penne),6.3,10,0.63
farm,pomme de terre agria (farineuse),3.6,3,1.2
farm,poireaux mini,1.44,2,0.72
farm,chou frisé,0.96,2,0.48
farm,chou blanc (300g),2.88,2,1.44
