Fournisseur,Produit,Total, Quantite, Prix(par unité)
shop,fromage végétal (New Roots soft white),8.01,1,8.01
shop,gingembre frais,4.05,3,1.3499999999999999
shop,lait d'avoine,3.24,1,3.24
shop,lentilles beluga (noire),5.85,5,1.17
shop,müsli choco-amaranthe,9.45,7,1.3499999999999999
farm,carottes demeter,3.92,8,0.49
farm,courge musquée (tranche de 1 kg),4,1,4
shop,pain multicéréale (1kg),7.2,1,7.2
farm,salade,4.8,2,2.4
farm,citrons,0.96,2,0.48
farm,chou frisé,1.44,3,0.48
farm,radis (botte),2.5,1,2.5
shop,lentille (verte),3.51,3,1.17
