"Date: 08/11/2020 23h31"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud",Amandes,"4.00 CHF/100g",2.00,8.00
"Epicerie Bio Bois-Genoud","Chun mee (thé vert en vrac) ","8.00 CHF/100g",1.00,8.00
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",2.00,3.60
"Epicerie Bio Bois-Genoud","Pâtes (Penne)","0.70 CHF/100g",10.00,7.00
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",8.00,8.80
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",10.00,9.00
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",4.00,18.00
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",5.00,22.50
"Ferme Bois genoud",Ail,"1.70 CHF/100g",6.00,10.20
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",9.00,3.15
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",34.00,16.30
"Ferme Bois genoud","Chou  blanc","0.50 CHF/100 g",2.00,0.95
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",12.00,5.75
"Ferme Bois genoud","Chou chinois","0.65 CHF/100 grammes",13.00,8.30
"Ferme Bois genoud","Chou plume (Kale) ","0.65 CHF/100 grammes",12.00,7.70
"Ferme Bois genoud",Citron,"0.50 CHF/100g",2.00,0.95
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",4.00,14.00
"Ferme Bois genoud","Côtes de Bettes","0.50 CHF/100 grammes",20.00,10.40
"Ferme Bois genoud",Echalottes,"0.65 CHF/100 grammes",14.00,8.95
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",2.00,0.70
"Ferme Bois genoud",Oignons,"0.50 CHF/100 grammes",16.00,7.70
"Ferme Bois genoud","Oignons doux","0.50 CHF/100 grammes",2.00,0.95
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",2.00,3.00
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",6.00,3.10
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",3.00,3.60
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",1.00,1.20
"Ferme Bois genoud","Pommes de terre (bleu de St. Gall)","1.60 CHF/500 g",1.00,1.60
"Ferme Bois genoud","Salade  balla rossa","0.65 CHF/100 g",9.00,5.75
"Ferme Bois genoud","Salade d'été","1.50 CHF/pièce",3.00,4.50
"Ferme Bois genoud",Tomates,"0.50 CHF/100 grammes",26.00,12.50
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",3.00,3.90
"Ferme de Coinsins","Lentille (verte)","1.30 CHF/100 g",3.00,3.90
