"Date: 06/10/2019 21h24"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Chocolat crémant 55 % amarru 100g","3.40 CHF/100 grammes",1.00,3.40
"Epicerie Bio Bois-Genoud","Curry english 50g","4.80 CHF/Pièce",1.00,4.80
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",14.00,9.80
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",2.00,3.60
"Epicerie Bio Bois-Genoud","Müsli spécial demeter","1.00 CHF/100g",14.00,14.00
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",24.00,14.40
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud",Ail,"1.60 CHF/100g",2.00,3.20
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",6.00,2.10
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",14.00,5.60
"Ferme Bois genoud","Chou chinois","0.40 CHF/100 grammes",3.00,1.25
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",2.00,1.40
"Ferme Bois genoud",Citron,"0.50 CHF/100g",2.00,1.00
"Ferme Bois genoud","Courge potimarron","4.20 CHF/pièce",5.00,21.00
"Ferme Bois genoud","Côtes de Bettes","0.50 CHF/100 grammes",12.00,6.25
"Ferme Bois genoud",Dates,"1.00 CHF/100 g",4.00,4.00
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",6.00,3.35
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",3.00,1.05
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",15.00,6.30
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",1.00,1.50
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",28.00,14.55
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",1.00,4.60
"Ferme Bois genoud","Pomme de terre Agria (farineuse)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",5.00,6.00
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",1.00,1.60
"Ferme Bois genoud",Tomates,"0.55 CHF/100 grammes",10.00,5.60
"Ferme St-Barthélémy","Pain complet Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",1.00,2.65
"Ferme St-Barthélémy","Pain de campagne bio bourgeon 1000g (moulé)","4.85 CHF/Pièce",1.00,4.85
"Ferme St-Barthélémy","Pain à l'avoine Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",1.00,2.65
"Ferme St-Barthélémy","Pain: torsadé aux graines Bio bourgeon 500g","3.35 CHF/Pièce",1.00,3.35
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 500g","3.10 CHF/Pièce",1.00,3.10
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",8.00,10.40
