"Date: 16/11/2020 00h23"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Polenta ticinese","0.90 CHF/100g",4.00,3.60
"Epicerie Bio Bois-Genoud","Purée de tomate naturata","3.20 CHF/400g",1.00,3.20
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",4.00,2.40
"Epicerie Bio Bois-Genoud","gingembre frais","1.50 CHF/100 g.",4.00,6.00
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",6.00,5.40
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",3.00,13.50
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud",Ail,"1.70 CHF/100g",2.00,3.40
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",3.00,1.05
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",24.00,11.50
"Ferme Bois genoud","Chou  blanc","0.50 CHF/100 g",6.00,2.90
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",15.00,7.20
"Ferme Bois genoud","Chou frisé","0.50 CHF/100 grammes",5.00,2.60
"Ferme Bois genoud","Chou pointu","0.65 CHF/100g",5.00,3.20
"Ferme Bois genoud",Citron,"0.50 CHF/100g",2.00,0.95
"Ferme Bois genoud",Clémentines,"0.45 CHF/100 grammes",8.00,3.60
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",4.00,14.00
"Ferme Bois genoud","Courge butternut (env. 2.5kg)","12.00 CHF/Pièce",2.00,24.00
"Ferme Bois genoud","Farine d'engrain","7.00 CHF/Sac de 1kg",1.00,7.00
"Ferme Bois genoud","Farine mi-blanche de Blé","5.50 CHF/kg",1.00,5.50
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",10.00,3.50
"Ferme Bois genoud",Oignons,"0.50 CHF/100 grammes",14.00,6.70
"Ferme Bois genoud","Oignons doux","0.50 CHF/100 grammes",2.00,0.95
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",14.00,7.30
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",4.00,4.80
"Ferme Bois genoud","Pommes de terre (bleu de St. Gall)","1.60 CHF/500 g",6.00,9.60
"Ferme Bois genoud","Salade  balla rossa","0.65 CHF/100 g",4.00,2.55
"Ferme Bois genoud","Salade d'été","1.50 CHF/pièce",2.00,3.00
"Ferme Bois genoud","Salade pain sucre","0.55 CHF/100g",4.00,2.15
