"Date: 13/10/2019 22h34"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Cocktail de légumes fermentés","7.00 CHF/340 g",1.00,7.00
"Epicerie Bio Bois-Genoud","Noix de Cajou","4.00 CHF/100g",2.00,8.00
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",3.00,13.50
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",4.00,1.40
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",26.00,10.40
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",8.00,2.80
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",5.00,3.50
"Ferme Bois genoud","Chou pointu","0.55 CHF/100g",3.00,1.70
"Ferme Bois genoud","Courge potimarron","4.20 CHF/pièce",4.00,16.80
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",2.00,1.10
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",11.00,3.85
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",22.00,9.25
"Ferme Bois genoud",Persil,"1.50 CHF/Botte",1.00,1.50
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",16.00,8.30
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",2.00,9.20
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme St-Barthélémy","Pain de campagne bio bourgeon 1000g (moulé)","4.85 CHF/Pièce",1.00,4.85
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 250g (long)","1.75 CHF/Pièce",1.00,1.75
"Ferme St-Barthélémy","Pain: torsadé aux graines Bio bourgeon 500g","3.35 CHF/Pièce",1.00,3.35
"Ferme St-Barthélémy","Pâte feuilletée Bio bourgeon 500g","6.25 CHF/Pièce",1.00,6.25
