"Date: 18/11/2019 06h23"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Cocktail de légumes fermentés","7.00 CHF/340 g",1.00,7.00
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",13.00,9.10
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",1.00,1.80
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",4.00,6.00
"Epicerie Bio Bois-Genoud","Müsli spécial demeter","1.00 CHF/100g",4.00,4.00
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",5.00,5.50
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",4.00,2.40
"Epicerie Bio Bois-Genoud","gingembre frais","1.50 CHF/100 g.",1.00,1.50
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",16.00,14.40
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud",Ail,"1.60 CHF/100g",4.00,6.40
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",8.00,2.80
"Ferme Bois genoud","Betteraves cuites","0.40 CHF/100 grammes",2.00,0.80
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",16.00,6.40
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",4.00,1.40
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",10.00,7.00
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",4.00,14.00
"Ferme Bois genoud",Dates,"1.00 CHF/100 g",3.00,3.00
"Ferme Bois genoud",Echalottes,"0.55 CHF/100 grammes",6.00,3.35
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",10.00,3.50
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",4.00,1.70
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",6.00,3.10
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",7.00,32.20
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",8.00,9.60
"Ferme Bois genoud",Rutabaga,"0.35 CHF/100 grammes",2.00,0.70
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme St-Barthélémy","Pain complet Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",2.00,5.30
"Ferme St-Barthélémy","Pain: torsadé aux graines Bio bourgeon 500g","3.35 CHF/Pièce",3.00,10.05
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 250g ","1.55 CHF/Pièce",1.00,1.55
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 500g","3.10 CHF/Pièce",1.00,3.10
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",3.00,3.90
"Ferme de Coinsins","Lentilles Beluga (noire)","1.30 CHF/100g",8.00,10.40
