Fournisseur,Produit,Total, Quantite, Prix(par unité)
farm,carottes demeter,4.41,9,0.49
farm,chou frisé,1.92,4,0.48
farm,colrave (pce),2.4,1,2.4
farm,côte de bettes,6.4,8,0.8
farm,courge musquée (tranche de 1 kg),8,2,4
shop,fromage végétal (New Roots soft white),8.01,1,8.01
shop,lait d'avoine,3.24,1,3.24
shop,pain multicéréale (400g),8.28,2,4.14
shop,pâtes (penne),6.3,10,0.63
farm,plantain corne de cerf,1.3,1,1.3
farm,radis (botte),7.5,3,2.5
farm,salade,4.8,2,2.4
shop,graines de tournesol,6.48,4,1.62
shop,pain multigrain (1kg),7.2,1,7.2
shop,chocolat crémant 55 % amarru 100g,3.15,1,3.15
shop,flocon d'avoine fin,2.52,4,0.63
