"Date: 02/11/2020 00h05"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",1.00,1.80
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",6.00,9.00
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",6.00,3.60
"Ferme Bio Les Sapins",Poires,"4.50 CHF/1kg",1.00,4.50
"Ferme Bois genoud","Carottes demeter ""bioverita""","0.50 CHF/100 grammes",6.00,2.90
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",2.00,7.00
"Ferme Bois genoud","Côtes de Bettes","0.50 CHF/100 grammes",14.00,7.30
"Ferme Bois genoud",Echalottes,"0.65 CHF/100 grammes",2.00,1.30
"Ferme Bois genoud","Farine complète blé ancien","25.00 CHF/5kg",1.00,25.00
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",6.00,3.10
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",7.00,8.40
"Ferme Bois genoud",Tomates,"0.50 CHF/100 grammes",2.00,0.95
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",3.00,3.90
"Ferme de Coinsins","Lentilles Beluga (noire)","1.30 CHF/100g",5.00,6.50
